student_id,degree_id,date_admitted,first_name,last_name,address,city,state,zip_code,phone,email,password
1,44,10/16/2017,Loise,Pashley,32948 Del Sol Junction,Frederick,Maryland,97540,240-509-3227,lpashley0@parallels.com,XkRyQkJARe
2,85,12/26/2018,Esmaria,Mungane,21 Village Lane,Nashville,Tennessee,54234,615-260-6810,emungane1@toplist.cz,SFg5GB90
3,105,4/4/2019,Morna,Tarver,1068 Hermina Point,Riverside,California,46884,909-916-8956,mtarver2@wordpress.com,qOmQZ9
4,99,3/17/2020,Stefan,Delacourt,0 Bobwhite Junction,Lancaster,Pennsylvania,58339,717-237-6925,sdelacourt3@google.it,r6HTr8
5,123,3/12/2019,Halie,McGlaughn,46 Gale Alley,New Castle,Pennsylvania,60460,724-641-4346,hmcglaughn4@amazonaws.com,RkJiP0uVTNZ
6,57,9/27/2017,Bronson,Ayling,02 Milwaukee Road,Staten Island,New York,51112,718-430-9192,bayling5@youku.com,bCHpGH8q3
7,18,6/23/2018,Candice,Mahaddy,137 Parkside Alley,Boca Raton,Florida,32862,954-462-8198,cmahaddy6@wp.com,DcrCsy2zl
8,158,9/4/2019,Onofredo,Roelofs,2414 Mendota Junction,Gainesville,Georgia,65762,770-809-2393,oroelofs7@wufoo.com,PnG9BL3a
9,200,4/10/2019,Steffane,Fricke,052 Monument Way,Orlando,Florida,70485,407-886-2279,sfricke8@army.mil,1fxQmDYZx
10,157,9/27/2017,Al,Sanderson,667 Judy Center,Saint Paul,Minnesota,49498,612-884-1297,asanderson9@google.cn,Ejvze4x
11,22,11/23/2018,Germana,Doding,48784 Nancy Park,Boise,Idaho,92907,208-612-4616,gdodinga@discuz.net,KJ0puE80Q
12,15,1/2/2020,Calli,Zaple,9395 Leroy Plaza,Petaluma,California,49797,707-417-5146,czapleb@pen.io,4R5QyTqa
13,159,3/17/2018,Jone,Gretton,06 Dottie Center,Bloomington,Illinois,28707,309-151-8595,jgrettonc@google.ru,Q57yHtF
14,86,9/1/2017,Erminia,Bestall,87 Hollow Ridge Lane,Charlotte,North Carolina,66857,704-593-4474,ebestalld@hubpages.com,bxmKQpkdTQlb
15,50,8/13/2019,Wendi,Winpenny,52111 Morning Trail,Lynchburg,Virginia,32284,434-501-8227,wwinpennye@alexa.com,rU4N4pKVvQ1
16,6,1/6/2020,Trever,Danbrook,7 Summit Trail,Reston,Virginia,37313,571-235-6709,tdanbrookf@artisteer.com,2vjNaHoJXNY
